DistrictID,DistrictName,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Is Strategic Zone Hub,Est Merchant 2026,Distributor Code,Distributor Name,SO,SO OFF,AO M06,Amount (Tax) M06,AO OFF M06,Amount (Tax) OFF M06,AO M05,Amount (Tax) M05,AO OFF M05,Amount (Tax) OFF M05
27508,An Nhơn Tây,79,TP. Hồ Chí Minh,HCM,An Nhơn Tây_27508,TP. Hồ Chí Minh,An Nhơn Tây_27508,TP. Hồ Chí Minh,11.101974,106.481546,40278,518.4451023,77.69,0,503,0,0,0,0,0,0,0,0,0,0,0,0
25975,An Phú,79,TP. Hồ Chí Minh,HCM,An Phú_25975,TP. Hồ Chí Minh,An Phú_25975,TP. Hồ Chí Minh,10.959184,106.737256,16047,952.3442136,16.85,0,200,0,0,0,0,0,0,0,0,0,0,0,0
26767,An Phú Đông,79,TP. Hồ Chí Minh,HCM,An Phú Đông,TP. Hồ Chí Minh,An Phú Đông,TP. Hồ Chí Minh,10.867095,106.690569,176409,12091.08979,14.59,0,2205,0,0,0,0,0,0,0,0,0,0,0,0
27673,An Thới Đông,79,TP. Hồ Chí Minh,HCM,An Thới Đông,TP. Hồ Chí Minh,An Thới Đông,TP. Hồ Chí Minh,10.50285,106.808494,22266,86.35587962,257.84,0,278,0,0,0,0,0,0,0,0,0,0,0,0
27592,Bà Điểm,79,TP. Hồ Chí Minh,HCM,Bà Điểm,TP. Hồ Chí Minh,Bà Điểm,TP. Hồ Chí Minh,10.851402,106.569713,201203,7353.910819,27.36,0,2515,0,0,0,0,0,0,0,0,0,0,0,0
26560,Bà Rịa,79,TP. Hồ Chí Minh,HCM,Bà Rịa,TP. Hồ Chí Minh,Bà Rịa,TP. Hồ Chí Minh,10.495252,107.18501,5147,330.9967846,15.55,0,64,0,0,0,0,0,0,0,0,0,0,0,0
25906,Bắc Tân Uyên,79,TP. Hồ Chí Minh,HCM,Bắc Tân Uyên,TP. Hồ Chí Minh,Bắc Tân Uyên,TP. Hồ Chí Minh,11.170889,106.863379,27542,191.6765259,143.69,0,344,0,0,0,0,0,0,0,0,0,0,0,0
27154,Bàn Cờ,79,TP. Hồ Chí Minh,HCM,Bàn Cờ,TP. Hồ Chí Minh,Bàn Cờ,TP. Hồ Chí Minh,10.769577,106.680775,66612,67284.84848,0.99,0,832,0,0,0,0,0,0,0,0,0,0,0,0
25822,Bàu Bàng,79,TP. Hồ Chí Minh,HCM,Bàu Bàng,TP. Hồ Chí Minh,Bàu Bàng,TP. Hồ Chí Minh,11.265801,106.606771,41581,494.4821025,84.09,0,519,0,0,0,0,0,0,0,0,0,0,0,0
26638,Bàu Lâm,79,TP. Hồ Chí Minh,HCM,Bàu Lâm,TP. Hồ Chí Minh,Bàu Lâm,TP. Hồ Chí Minh,10.737391,107.419033,22226,179.4880078,123.83,0,277,0,0,0,0,0,0,0,0,0,0,0,0
