WardID,WardName,WardNameUnique,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_2,NAME_1,GADM_Latitude,GADM_Longitude
09661,Minh Châu,Minh Châu_09661,01,Hà Nội,NO,Minh Châu_09661,Hà Nội,Minh Châu_09661,Hà Nội,21.209224,105.451214
10441,Mỹ Đức,Mỹ Đức_10441,01,Hà Nội,NO,Mỹ Đức_10441,Hà Nội,Mỹ Đức_10441,Hà Nội,20.654002,105.697512
00685,Nam Phù,Nam Phù,01,Hà Nội,NO,Nam Phù,Hà Nội,Nam Phù,Hà Nội,20.918307,105.887488
00160,Nghĩa Đô,Nghĩa Đô_00160,01,Hà Nội,NO,Nghĩa Đô_00160,Hà Nội,Nghĩa Đô_00160,Hà Nội,21.043627,105.793736
00008,Ngọc Hà,Ngọc Hà,01,Hà Nội,NO,Ngọc Hà,Hà Nội,Ngọc Hà,Hà Nội,21.038538,105.816622
00679,Ngọc Hồi,Ngọc Hồi,01,Hà Nội,NO,Ngọc Hồi,Hà Nội,Ngọc Hồi,Hà Nội,20.913754,105.834149
00433,Nội Bài,Nội Bài,01,Hà Nội,NO,Nội Bài,Hà Nội,Nội Bài,Hà Nội,21.236049,105.773554
00190,Ô Chợ Dừa,Ô Chợ Dừa,01,Hà Nội,NO,Ô Chợ Dừa,Hà Nội,Ô Chợ Dừa,Hà Nội,21.022296,105.825446
09817,Ô Diên,Ô Diên,01,Hà Nội,NO,Ô Diên,Hà Nội,Ô Diên,Hà Nội,21.105655,105.710537
09952,Phú Cát,Phú Cát,01,Hà Nội,NO,Phú Cát,Hà Nội,Phú Cát,Hà Nội,20.949707,105.557066
00619,Phú Diễn,Phú Diễn,01,Hà Nội,NO,Phú Diễn,Hà Nội,Phú Diễn,Hà Nội,21.048157,105.763636
00541,Phù Đổng,Phù Đổng,01,Hà Nội,NO,Phù Đổng,Hà Nội,Phù Đổng,Hà Nội,21.079381,105.932516
09568,Phú Lương,Phú Lương_09568,01,Hà Nội,NO,Phú Lương_09568,Hà Nội,Phú Lương_09568,Hà Nội,20.938517,105.768066
10030,Phú Nghĩa,Phú Nghĩa_10030,01,Hà Nội,NO,Phú Nghĩa_10030,Hà Nội,Phú Nghĩa_10030,Hà Nội,20.918487,105.639652
00091,Phú Thượng,Phú Thượng,01,Hà Nội,NO,Phú Thượng,Hà Nội,Phú Thượng,Hà Nội,21.084201,105.802051
10273,Phú Xuyên,Phú Xuyên_10273,01,Hà Nội,NO,Phú Xuyên_10273,Hà Nội,Phú Xuyên_10273,Hà Nội,20.762517,105.92245
09739,Phúc Lộc,Phúc Lộc_09739,01,Hà Nội,NO,Phúc Lộc_09739,Hà Nội,Phúc Lộc_09739,Hà Nội,21.146207,105.571873
00136,Phúc Lợi,Phúc Lợi_00136,01,Hà Nội,NO,Phúc Lợi_00136,Hà Nội,Phúc Lợi_00136,Hà Nội,21.04166,105.91729
10459,Phúc Sơn,Phúc Sơn,01,Hà Nội,NO,Phúc Sơn,Hà Nội,Phúc Sơn,Hà Nội,20.780439,105.6844
00466,Phúc Thịnh,Phúc Thịnh,01,Hà Nội,NO,Phúc Thịnh,Hà Nội,Phúc Thịnh,Hà Nội,21.158587,105.808802
09715,Phúc Thọ,Phúc Thọ,01,Hà Nội,NO,Phúc Thọ,Hà Nội,Phúc Thọ,Hà Nội,21.107502,105.546059
10279,Phượng Dực,Phượng Dực,01,Hà Nội,NO,Phượng Dực,Hà Nội,Phượng Dực,Hà Nội,20.772153,105.842208
00352,Phương Liệt,Phương Liệt,01,Hà Nội,NO,Phương Liệt,Hà Nội,Phương Liệt,Hà Nội,20.99363,105.8316
10072,Quảng Bị,Quảng Bị,01,Hà Nội,NO,Quảng Bị,Hà Nội,Quảng Bị,Hà Nội,20.871662,105.699032
08974,Quang Minh,Quang Minh,01,Hà Nội,NO,Quang Minh,Hà Nội,Quang Minh,Hà Nội,21.198946,105.752205
09619,Quảng Oai,Quảng Oai,01,Hà Nội,NO,Quảng Oai,Hà Nội,Quảng Oai,Hà Nội,21.177794,105.429568
09895,Quốc Oai,Quốc Oai,01,Hà Nội,NO,Quốc Oai,Hà Nội,Quốc Oai,Hà Nội,21.008489,105.652483
00376,Sóc Sơn,Sóc Sơn,01,Hà Nội,NO,Sóc Sơn,Hà Nội,Sóc Sơn,Hà Nội,21.245633,105.850029
09871,Sơn Đồng,Sơn Đồng,01,Hà Nội,NO,Sơn Đồng,Hà Nội,Sơn Đồng,Hà Nội,21.026945,105.708584
09574,Sơn Tây,Sơn Tây_09574,01,Hà Nội,NO,Sơn Tây_09574,Hà Nội,Sơn Tây_09574,Hà Nội,21.1427,105.486925
09694,Suối Hai,Suối Hai,01,Hà Nội,NO,Suối Hai,Hà Nội,Suối Hai,Hà Nội,21.124315,105.376275
10144,Tam Hưng,Tam Hưng,01,Hà Nội,NO,Tam Hưng,Hà Nội,Tam Hưng,Hà Nội,20.878525,105.793496
00103,Tây Hồ,Tây Hồ_00103,01,Hà Nội,NO,Tây Hồ_00103,Hà Nội,Tây Hồ_00103,Hà Nội,21.061669,105.818587
00634,Tây Mỗ,Tây Mỗ,01,Hà Nội,NO,Tây Mỗ,Hà Nội,Tây Mỗ,Hà Nội,20.999166,105.748331
10003,Tây Phương,Tây Phương,01,Hà Nội,NO,Tây Phương,Hà Nội,Tây Phương,Hà Nội,21.040142,105.611578
00613,Tây Tựu,Tây Tựu,01,Hà Nội,NO,Tây Tựu,Hà Nội,Tây Tựu,Hà Nội,21.066007,105.740132
09955,Thạch Thất,Thạch Thất,01,Hà Nội,NO,Thạch Thất,Hà Nội,Thạch Thất,Hà Nội,21.06664,105.561778
00643,Thanh Liệt,Thanh Liệt,01,Hà Nội,NO,Thanh Liệt,Hà Nội,Thanh Liệt,Hà Nội,20.97085,105.80224
10114,Thanh Oai,Thanh Oai,01,Hà Nội,NO,Thanh Oai,Hà Nội,Thanh Oai,Hà Nội,20.844085,105.767749
00640,Thanh Trì,Thanh Trì,01,Hà Nội,NO,Thanh Trì,Hà Nội,Thanh Trì,Hà Nội,20.938888,105.861098
00367,Thanh Xuân,Thanh Xuân,01,Hà Nội,NO,Thanh Xuân,Hà Nội,Thanh Xuân,Hà Nội,20.997183,105.802575
00493,Thiên Lộc,Thiên Lộc,01,Hà Nội,NO,Thiên Lộc,Hà Nội,Thiên Lộc,Hà Nội,21.125905,105.761179
00475,Thư Lâm,Thư Lâm,01,Hà Nội,NO,Thư Lâm,Hà Nội,Thư Lâm,Hà Nội,21.162653,105.884466
00562,Thuận An,Thuận An_00562,01,Hà Nội,NO,Thuận An_00562,Hà Nội,Thuận An_00562,Hà Nội,21.032205,105.975447
00598,Thượng Cát,Thượng Cát,01,Hà Nội,NO,Thượng Cát,Hà Nội,Thượng Cát,Hà Nội,21.08665,105.748758
10231,Thượng Phúc,Thượng Phúc,01,Hà Nội,NO,Thượng Phúc,Hà Nội,Thượng Phúc,Hà Nội,20.828894,105.848131
10183,Thường Tín,Thường Tín,01,Hà Nội,NO,Thường Tín,Hà Nội,Thường Tín,Hà Nội,20.870095,105.844259
08995,Tiến Thắng,Tiến Thắng,01,Hà Nội,NO,Tiến Thắng,Hà Nội,Tiến Thắng,Hà Nội,21.207576,105.684919
10081,Trần Phú,Trần Phú_10081,01,Hà Nội,NO,Trần Phú_10081,Hà Nội,Trần Phú_10081,Hà Nội,20.837087,105.66268
00385,Trung Giã,Trung Giã,01,Hà Nội,NO,Trung Giã,Hà Nội,Trung Giã,Hà Nội,21.331276,105.832329
00592,Từ Liêm,Từ Liêm,01,Hà Nội,NO,Từ Liêm,Hà Nội,Từ Liêm,Hà Nội,21.021225,105.767155
09604,Tùng Thiện,Tùng Thiện,01,Hà Nội,NO,Tùng Thiện,Hà Nội,Tùng Thiện,Hà Nội,21.122402,105.458743
00322,Tương Mai,Tương Mai,01,Hà Nội,NO,Tương Mai,Hà Nội,Tương Mai,Hà Nội,20.990295,105.852893
10402,Ứng Hòa,Ứng Hòa,01,Hà Nội,NO,Ứng Hòa,Hà Nội,Ứng Hòa,Hà Nội,20.692291,105.841722
10369,Ứng Thiên,Ứng Thiên,01,Hà Nội,NO,Ứng Thiên,Hà Nội,Ứng Thiên,Hà Nội,20.773452,105.770665
10354,Vân Đình,Vân Đình,01,Hà Nội,NO,Vân Đình,Hà Nội,Vân Đình,Hà Nội,20.736033,105.775406
00226,Văn Miếu - Quốc Tử Giám,Văn Miếu - Quốc Tử Giám,01,Hà Nội,NO,Văn Miếu - Quốc Tử Giám,Hà Nội,Văn Miếu - Quốc Tử Giám,Hà Nội,21.023392,105.836907
09664,Vật Lại,Vật Lại,01,Hà Nội,NO,Vật Lại,Hà Nội,Vật Lại,Hà Nội,21.211196,105.379367
00127,Việt Hưng,Việt Hưng_00127,01,Hà Nội,NO,Việt Hưng_00127,Hà Nội,Việt Hưng_00127,Hà Nội,21.063094,105.906058
00301,Vĩnh Hưng,Vĩnh Hưng_00301,01,Hà Nội,NO,Vĩnh Hưng_00301,Hà Nội,Vĩnh Hưng_00301,Hà Nội,20.991212,105.882863
